zip,zip_population_2010,zip_land_area_2010,primary_RUCA_code_2010,zip_population_density_2010,rural_urban_class
00707,9342.0,11.458222972461632,7.0,815.309670832231,rural
00714,17100.0,8.19948084701551,1.0,2085.4978893235843,urban
00715,12879.0,16.261292330311953,1.0,792.0034729338718,urban
00716,79887.0,29.51914371804039,1.0,2706.2776875596733,urban
00717,30030.0,35.164458290926476,1.0,853.987277482067,urban
00718,19342.0,30.31371496701916,1.0,638.0610235678402,urban
00719,16565.0,10.078374880501375,1.0,1643.6181622940317,urban
00720,10468.0,8.260942907843596,1.0,1267.1676970507626,urban
00721,6191.0,0.467115291653861,1.0,13253.687281527957,urban
00723,18499.0,35.43702750746336,1.0,522.0245969023204,urban
00725,155201.0,69.45849980772111,1.0,2234.442155094568,urban
00726,6766.0,0.721203341482663,1.0,9381.542778338124,urban
00727,102101.0,38.10839548291344,1.0,2679.225895138481,urban
00728,77130.0,35.20280055351607,1.0,2191.0188617733775,urban
00729,62944.0,31.820606890842743,1.0,1978.0892368245143,urban
00730,108229.0,52.01233133126485,1.0,2080.8334721759156,urban
00731,7809.0,32.73369722176322,1.0,238.56150275649685,urban
00732,1727.0,0.736089124737258,1.0,2346.1832840098555,urban
00733,3013.0,0.216998688797014,1.0,13884.876524845897,urban
00735,25729.0,31.847072650529682,1.0,807.8921501619419,urban
00736,46331.0,42.45078239744736,1.0,1091.405090399134,urban
00737,3094.0,0.335679547550027,1.0,9217.123958196753,urban
00738,33863.0,26.66921429751801,1.0,1269.7411938060538,urban
00739,48199.0,39.152845495809224,1.0,1231.0471790654153,urban
00740,4469.0,0.993049774747991,1.0,4500.277945417298,urban
00741,4993.0,2.64821381411806,1.0,1885.4217787783987,urban
00742,18.0,12.0634338846358,10.0,1.492112459199956,rural
00744,7378.0,21.3468765106248,1.0,345.6243350790834,urban
00745,56874.0,51.41499188413232,1.0,1106.175415298518,urban
00751,30995.0,42.87096388091382,1.0,722.9835113130963,urban
00754,35568.0,22.93244099972663,1.0,1550.9905814398037,urban
00757,23274.0,34.02329161370633,4.0,684.0607976514547,rural
00765,9301.0,50.7679676508154,7.0,183.20607324627883,rural
00766,27230.0,24.838769523256467,1.0,1096.270085943856,urban
00767,21755.0,25.855531763081515,1.0,841.40601706995,urban
00769,37394.0,61.82731155511139,4.0,604.8136181154808,rural
00771,42247.0,32.440487755155644,1.0,1302.2923797835267,urban
00772,7980.0,1.22345200054981,1.0,6522.5280570172345,urban
00773,16306.0,15.01004560638891,1.0,1086.3391376412258,urban
00775,1818.0,11.6238789523349,10.0,156.40217929444427,rural
00777,55293.0,31.71551026491241,1.0,1743.4056566692514,urban
00778,64276.0,28.421993074871388,1.0,2261.4881310638293,urban
00780,22340.0,14.22427439818254,1.0,1570.5546289837055,urban
00782,8864.0,1.667867959233788,1.0,5314.569388377775,urban
00783,26032.0,20.092095407391852,1.0,1295.6339033918218,urban
00784,45362.0,64.99174088837478,1.0,697.9656088596021,urban
00785,2485.0,0.246716973206053,1.0,10072.270130861969,urban
00786,5772.0,9.11756811228469,1.0,633.0635459934772,urban
00791,40611.0,26.222031144545838,1.0,1548.735861693424,urban
00792,5335.0,0.918241706139179,1.0,5810.017084098081,urban
00794,26136.0,23.36203488201491,1.0,1118.738163520191,urban
00795,60648.0,56.845720906815004,1.0,1066.8876923808905,urban
00802,0.0,0.0,,,other
00820,0.0,0.0,,,other
00830,0.0,0.0,,,other
00840,0.0,0.0,,,other
00850,0.0,0.0,,,other
00901,9221.0,1.3441695482758993,1.0,6859.997692870908,urban
00902,1763.0,0.268120547276667,1.0,6575.400572268725,urban
00907,47051.0,5.490720806428442,1.0,8569.184567700746,urban
00908,3522.0,0.190572311531945,1.0,18481.17374285833,urban
00909,29509.0,4.5306912618900155,1.0,6513.134154210737,urban
00910,1622.0,0.127418350973055,1.0,12729.720543495358,urban
00911,23544.0,2.1096499288799753,1.0,11160.145423984935,urban
00912,18968.0,1.1373377019507438,1.0,16677.544380588442,urban
00913,9814.0,0.4406947059214172,1.0,22269.384832932374,urban
00914,1767.0,0.126199426406609,1.0,14001.648425142628,urban
00915,49764.0,2.8516626331859456,1.0,17450.87214065097,urban
00916,2283.0,0.0895683686565343,1.0,25488.909022721695,urban
00917,63984.0,6.024860346843304,1.0,10619.997197698383,urban
00918,24212.0,3.1533578533954634,1.0,7678.164396701463,urban
00919,3932.0,1.09790045359284,1.0,3581.3811599518613,urban
00920,34913.0,5.264179602376534,1.0,6632.182531203607,urban
00921,101418.0,10.660119660786075,1.0,9513.776883112536,urban
00922,2311.0,0.424382661232407,1.0,5445.557067032045,urban
00923,47132.0,3.788752689201649,1.0,12439.977973313287,urban
00924,127644.0,11.958909462128787,1.0,10673.54848736168,urban
00925,20984.0,1.9953289358869621,1.0,10516.561767131498,urban
00926,252599.0,42.314319216923,1.0,5969.586765772109,urban
00927,41483.0,5.800946568092202,1.0,7151.074314005068,urban
00928,3500.0,0.35604875389384,1.0,9830.114448437489,urban
00929,4636.0,0.253404648979069,1.0,18294.84983277844,urban
00931,3500.0,0.35604875389384,1.0,9830.114448437489,urban
00934,10726.0,5.5501438616704,1.0,1932.562518617643,urban
00935,4541.0,0.782064627326459,1.0,5806.4255067048825,urban
00936,2052.0,0.23871191681197,1.0,8596.135573811052,urban
00937,11.0,2.21242994176035,1.0,4.971908846635705,urban
00940,1622.0,0.127418350973055,1.0,12729.720543495358,urban
00949,96177.0,25.00606914008868,1.0,3846.146287975069,urban
00950,6108.0,2.02715881309103,1.0,3013.0841059692143,urban
00951,6108.0,2.02715881309103,1.0,3013.0841059692143,urban
00952,18759.0,3.113388170138239,1.0,6025.268606055978,urban
00953,99495.0,33.34194559974795,1.0,2984.0790094970384,urban
00956,178086.0,30.277662290327214,1.0,5881.761884136379,urban
00957,193237.0,26.378190169220876,1.0,7325.635260051944,urban
00958,2609.0,0.264346784618307,1.0,9869.61125238259,urban
00959,206085.0,30.155293769700883,1.0,6834.1234402785985,urban
00960,2751.0,0.296768556456632,1.0,9269.849989656888,urban
00961,156131.0,24.015356827908086,1.0,6501.298361661702,urban
00962,84396.0,8.978791407527757,1.0,9399.483312335664,urban
00963,4283.0,0.26610084679929,1.0,16095.401617532272,urban
00965,34224.0,5.99123432232118,1.0,5712.3454298046245,urban
00966,52988.0,15.668292671626276,1.0,3381.861770807742,urban
00968,29242.0,5.633156215395592,1.0,5191.05078607277,urban
00969,104993.0,25.28010091166446,1.0,4153.187535400831,urban
00970,4064.0,0.589686902024256,1.0,6891.792892209827,urban
